filename,config_num,distribution_group,regular_info_count,misinformation_count,total_posts,num_agents,run_mean_raw_diff,run_median_raw_diff,run_pct_positive_raw,run_std_raw_diff,run_mean_norm_diff,run_median_norm_diff,run_pct_positive_norm,run_std_norm_diff,normal_run_mean_norm_diff,normal_run_median_norm_diff,normal_run_pct_positive_norm,normal_n_agents,gullible_run_mean_norm_diff,gullible_run_median_norm_diff,gullible_run_pct_positive_norm,gullible_n_agents,stubborn_run_mean_norm_diff,stubborn_run_median_norm_diff,stubborn_run_pct_positive_norm,stubborn_n_agents
hyp2-config-138s-0.json,138,equal,50,450,500,300,725.2133333333334,399.5,1.0,965.1551460821822,-0.48210370370370376,-0.4655555555555555,0.03333333333333333,0.5383109896795304,-0.2893555555555556,-0.3433333333333335,0.05,100,-0.1925777777777778,-0.0855555555555556,0.04,100,-0.9643777777777777,-0.9444444444444443,0.01,100
hyp2-config-139s-0.json,139,equal,50,450,500,300,650.8033333333333,397.0,1.0,808.0639221806582,-1.0318148148148147,-0.6322222222222221,0.02,1.133253025890066,-0.504488888888889,-0.4655555555555555,0.04,100,-0.24382222222222225,-0.12222222222222234,0.0,100,-2.3471333333333333,-2.464444444444444,0.02,100
hyp2-config-13s-0.json,13,random,150,450,600,300,503.44,277.5,1.0,873.7458473449293,-0.6016148148148147,-0.4755555555555555,0.04666666666666667,0.6478945766197282,-0.43124444444444443,-0.31666666666666676,0.02,100,-0.21633333333333332,-0.17666666666666664,0.07,100,-1.1572666666666664,-1.218888888888889,0.05,100
hyp2-config-140s-0.json,140,equal,50,450,500,300,546.0533333333333,386.0,1.0,757.368342691052,-1.0969481481481482,-0.7922222222222223,0.023333333333333334,1.047915657632641,-0.6274000000000001,-0.5522222222222223,0.05,100,-0.5771333333333333,-0.5222222222222223,0.02,100,-2.0863111111111112,-1.9633333333333334,0.0,100
hyp2-config-141s-0.json,141,equal,50,450,500,300,733.86,400.0,1.0,1083.9784552154335,-0.48309629629629636,-0.2333333333333334,0.04666666666666667,0.6877570878666092,-0.23499999999999996,-0.16666666666666663,0.04,100,-0.14482222222222227,-0.09555555555555562,0.02,100,-1.0694666666666668,-1.1444444444444444,0.08,100
hyp2-config-142s-0.json,142,equal,50,450,500,300,807.52,421.0,1.0,1101.0209109828045,-0.15840000000000004,-0.15333333333333332,0.09333333333333334,0.400003725982894,-0.0704888888888889,-0.12888888888888883,0.07,100,-0.1294666666666667,-0.13777777777777778,0.06,100,-0.27524444444444446,-0.26,0.15,100
hyp2-config-143s-0.json,143,equal,50,450,500,300,671.18,397.0,1.0,827.6592861274761,-0.5893185185185185,-0.45777777777777784,0.03,0.6619588859202469,-0.42824444444444454,-0.3688888888888888,0.04,100,-0.41304444444444455,-0.28111111111111114,0.02,100,-0.9266666666666664,-0.8977777777777778,0.03,100
hyp2-config-144s-0.json,144,equal,50,450,500,300,784.8133333333334,423.5,1.0,1021.6788392923423,-0.16216296296296298,-0.14888888888888885,0.19,0.3991425176006257,-0.13684444444444444,-0.12444444444444447,0.2,100,-0.20020000000000004,-0.1677777777777777,0.04,100,-0.14944444444444444,-0.1466666666666666,0.33,100
hyp2-config-145s-0.json,145,equal,50,450,500,300,583.1766666666666,401.5,1.0,803.3229641545271,-0.4892962962962963,-0.08333333333333343,0.06,0.8981911705086763,-0.11762222222222225,-0.0344444444444445,0.11,100,-0.05162222222222223,-0.004444444444444473,0.03,100,-1.2986444444444445,-1.0566666666666666,0.04,100
hyp2-config-146s-0.json,146,equal,50,450,500,300,708.0933333333334,396.0,1.0,1109.2123985539959,-0.4365333333333333,-0.34444444444444455,0.04,0.5806973646324327,-0.35091111111111106,-0.21999999999999997,0.04,100,-0.25528888888888884,-0.26,0.06,100,-0.7034,-0.61,0.02,100
hyp2-config-147s-0.json,147,equal,50,450,500,300,669.0433333333333,414.0,1.0,823.9270400628391,-0.3961407407407408,-0.12444444444444447,0.15666666666666668,0.6809968841416887,-0.11920000000000001,-0.040000000000000036,0.21,100,-0.07953333333333332,-0.022222222222222254,0.2,100,-0.9896888888888888,-0.8933333333333333,0.06,100
hyp2-config-148s-0.json,148,equal,50,450,500,300,693.24,395.0,1.0,1042.4722492075714,-0.5545777777777778,-0.5244444444444443,0.03333333333333333,0.6197316497692792,-0.5175777777777778,-0.54,0.03,100,-0.29528888888888893,-0.28222222222222226,0.04,100,-0.8508666666666668,-0.8177777777777779,0.03,100
hyp2-config-149s-0.json,149,equal,50,450,500,300,692.98,411.0,1.0,854.4612765814829,-0.3292,-0.18888888888888866,0.07666666666666666,0.46210029192465757,-0.19291111111111112,-0.1333333333333332,0.08,100,-0.10468888888888887,-0.08222222222222231,0.13,100,-0.69,-0.6855555555555555,0.02,100
hyp2-config-14s-0.json,14,random,151,447,598,300,397.97,250.0,1.0,798.7654033979887,-0.7740408709522892,-0.4995999822214321,0.03666666666666667,0.8379946322467258,-0.43148643643421186,-0.3950249640724772,0.04,100,-0.32460894558276665,-0.2770271271315762,0.02,100,-1.5660272308398893,-1.7423218809724879,0.05,100
hyp2-config-150s-0.json,150,real_gt,895,894,1789,300,-619.9833333333333,-431.0,0.03333333333333333,645.3957301925112,-0.6907389549198256,-0.4804288053191357,0.03333333333333333,0.721733730172854,-0.4091176433829503,-0.31842888030695016,0.02,100,-0.3182965268143927,-0.2603370702260883,0.04,100,-1.3448026945621336,-1.3578793446065016,0.04,100
